step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
470,0.3118,0.88889,,
471,0.0,1.0,,
472,0.0,1.0,,
473,1.35861,0.88889,,
474,1.36695,0.88889,,
475,0.0,1.0,,
476,1.5825,0.88889,,
477,0.0,1.0,,
478,2.85855,0.77778,,
479,1.0142,0.88889,,
480,1.43903,0.88889,,
481,1.26233,0.88889,,
482,1.21993,0.88889,,
483,1.12233,0.88889,,
484,1.31929,0.88889,,
485,2.70616,0.77778,,
486,0.00071,1.0,,
487,2e-05,1.0,,
488,0.00504,1.0,,
489,9e-05,1.0,,
490,0.96138,0.88889,,
491,0.32464,0.88889,,
492,0.00013,1.0,,
493,3e-05,1.0,,
494,0.89847,0.88889,,
495,0.00387,1.0,,
496,0.00013,1.0,,
497,2e-05,1.0,,
498,0.44216,0.88889,,
499,1.06603,0.88889,,
500,0.00238,1.0,,
501,1.08369,0.88889,6e-05,0.33333
502,0.00064,1.0,,
503,9e-05,1.0,,
504,0.84635,0.88889,,
505,8e-05,1.0,,
506,3e-05,1.0,,
507,0.00032,1.0,,
508,0.00058,1.0,,
509,2e-05,1.0,,
510,0.61235,0.88889,,
511,1e-05,1.0,,
512,1e-05,1.0,,
513,1.30791,0.88889,,
514,2e-05,1.0,,
515,1.19679,0.88889,,
516,0.0,1.0,,
517,2.46994,0.77778,,
518,0.0,1.0,,
519,1.11578,0.88889,,
520,0.00357,1.0,,
521,0.0,1.0,,
522,1.20024,0.88889,,
523,0.0,1.0,,
524,1.30766,0.88889,,
525,2.76147,0.77778,,
526,0.0,1.0,,
527,1.29632,0.88889,,
528,0.0,1.0,,
529,0.15632,0.88889,,
530,1e-05,1.0,,
531,0.0,1.0,,
532,0.0,1.0,,
533,0.0,1.0,,
534,1.64322,0.88889,,
535,1.7451,0.88889,,
536,1.55622,0.88889,,
537,0.0,1.0,,
538,0.00041,1.0,,
539,1.43893,0.88889,,
540,0.0,1.0,,
541,0.0,1.0,,
542,0.0,1.0,,
543,1.83944,0.77778,,
544,1.3293,0.88889,,
545,0.02883,1.0,,
546,0.0,1.0,,
547,0.0,1.0,,
548,0.0,1.0,,
549,0.0,1.0,,
550,0.0,1.0,,
551,1.48562,0.88889,,
552,0.0,1.0,,
553,1.37791,0.88889,,
554,0.0,1.0,,
555,0.0,1.0,,
556,0.0,1.0,,
557,1.2747,0.88889,,
558,1.29723,0.88889,,
559,0.0,1.0,,
560,0.0,1.0,,
561,0.0,1.0,,
562,1e-05,1.0,,
563,1.38909,0.88889,,
564,0.0,1.0,,
565,0.0,1.0,,
566,1.98004,0.88889,,
567,0.0,1.0,,
568,0.0,1.0,,
569,0.0,1.0,,
570,1.95934,0.88889,,
571,0.0,1.0,,
572,1.78534,0.88889,,
573,0.0,1.0,,
574,0.0,1.0,,
575,0.0,1.0,,
576,1.9206,0.88889,,
577,0.0,1.0,,
578,1.85855,0.88889,,
579,0.0,1.0,,
580,0.0,1.0,,
581,0.0,1.0,,
582,0.0,1.0,,
583,0.0,1.0,,
584,0.0,1.0,,
585,1e-05,1.0,,
586,0.0,1.0,,
587,0.0,1.0,,
588,0.0,1.0,,
589,1.78702,0.88889,,
590,0.0,1.0,,
591,0.0,1.0,,
592,0.0,1.0,,
593,0.0,1.0,,
594,0.0,1.0,,
595,0.0,1.0,,
596,2.2312,0.88889,,
597,0.0,1.0,,
598,0.0,1.0,,
599,0.0,1.0,,
600,0.0,1.0,,
601,0.0,1.0,1.86249,0.22222
602,0.0,1.0,,
603,1.88345,0.88889,,
604,1.62469,0.88889,,
605,0.0,1.0,,
606,1.81927,0.88889,,
607,0.0,1.0,,
608,0.0,1.0,,
609,0.0,1.0,,
610,1.25647,0.88889,,
611,0.0,1.0,,
612,1.02293,0.88889,,
613,0.0,1.0,,
614,0.0,1.0,,
615,0.0,1.0,,
616,3e-05,1.0,,
617,0.0,1.0,,
618,3.44315,0.77778,,
619,0.0,1.0,,
620,2.39618,0.66667,,
621,1.75374,0.88889,,
622,0.0,1.0,,
623,0.0,1.0,,
624,0.0,1.0,,
625,1.69025,0.88889,,
626,0.0,1.0,,
627,1.6124,0.88889,,
628,0.00494,1.0,,
629,0.0,1.0,,
630,0.0,1.0,,
631,1.42392,0.88889,,
632,0.0,1.0,,
633,1.89424,0.88889,,
634,0.00561,1.0,,
635,0.0,1.0,,
636,0.0,1.0,,
637,0.0,1.0,,
638,0.0,1.0,,
639,1.52295,0.88889,,
640,0.0,1.0,,
641,1.51147,0.88889,,
642,0.0,1.0,,
643,0.0,1.0,,
644,0.0,1.0,,
645,0.0,1.0,,
646,1.54727,0.88889,,
647,1.82205,0.88889,,
648,0.0,1.0,,
649,0.0,1.0,,
650,0.0,1.0,,
651,0.0,1.0,,
652,0.97661,0.88889,,
653,0.0,1.0,,
654,0.0,1.0,,
655,0.0,1.0,,
656,2.39703,0.77778,,
657,0.0,1.0,,
658,1.72007,0.88889,,
659,0.0,1.0,,
660,1.92543,0.88889,,
661,0.0,1.0,,
662,0.0,1.0,,
663,0.0,1.0,,
664,1.19055,0.88889,,
665,1.91042,0.88889,,
666,0.0,1.0,,
667,1.84757,0.88889,,
668,0.0,1.0,,
669,0.0,1.0,,
670,1.58343,0.88889,,
671,1.55908,0.88889,,
672,0.0,1.0,,
673,0.0,1.0,,
674,1.5463,0.88889,,
675,0.0,1.0,,
676,1.34286,0.88889,,
677,0.00022,1.0,,
678,0.33349,0.88889,,
679,0.0,1.0,,
680,0.0,1.0,,
681,0.0,1.0,,
